update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,1.002965,0.993928,nan,0.200000,nan,2.478823
2,1.076245,1.067656,1.508711,0.200020,-7.342630,2.635959
3,1.113531,1.111718,nan,0.200020,nan,2.705045
4,0.959889,0.960165,1.232032,0.200039,-5.929641,2.371632
5,1.165226,1.168428,nan,0.200039,nan,2.802985
6,1.164696,1.166874,1.503077,0.200058,-7.260246,2.823099
7,1.107056,1.107570,nan,0.200058,nan,2.691896
8,1.209953,1.209770,1.416657,0.200077,-6.761831,2.907659
9,1.019454,1.019461,nan,0.200077,nan,2.499286
10,1.194256,1.194351,1.586752,0.200097,-7.580668,2.883007
11,0.951634,0.951918,nan,0.200097,nan,2.379916
12,0.966271,0.965841,1.889268,0.200117,-9.125208,2.415928
13,0.952080,0.952881,nan,0.200117,nan,2.379460
14,0.972956,0.973770,1.892273,0.200137,-9.112657,2.430305
15,0.874054,0.875350,nan,0.200137,nan,2.213530
16,1.137056,1.139347,1.549624,0.200157,-7.329547,2.753988
17,1.100878,1.102181,nan,0.200157,nan,2.692894
18,0.856273,0.855889,1.664091,0.200177,-7.847369,2.200881
19,0.980932,0.979514,nan,0.200177,nan,2.447053
20,1.006282,1.006917,1.718281,0.200197,-7.918887,2.484210
21,0.945668,0.945598,nan,0.200197,nan,2.370058
22,0.935713,0.935511,1.602071,0.200217,-7.488171,2.345070
23,1.010457,1.011640,nan,0.200217,nan,2.500796
24,0.915343,0.916456,1.291012,0.200236,-5.868205,2.306163
25,1.183161,1.182926,nan,0.200236,nan,2.826476
26,1.447282,1.447370,1.518472,0.200254,-6.748330,3.376960
27,0.972704,0.972655,nan,0.200254,nan,2.429056
28,1.115566,1.115572,1.332292,0.200272,-5.930266,2.716313
29,1.092188,1.092619,nan,0.200272,nan,2.664701
30,0.985316,0.985081,1.668432,0.200291,-7.593678,2.465099
31,0.972570,0.973090,nan,0.200291,nan,2.413746
32,0.918713,0.921704,1.792667,0.200309,-7.906621,2.309452
33,0.730776,0.731602,nan,0.200309,nan,1.916774
34,0.927049,0.927877,1.982988,0.200329,-8.820935,2.329745
35,1.014371,1.014668,nan,0.200329,nan,2.496349
36,1.146009,1.146524,1.515276,0.200348,-6.773241,2.780982
37,0.850772,0.848389,nan,0.200348,nan,2.159950
38,1.011277,1.010959,1.719432,0.200367,-7.142737,2.503194
