update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.732702,0.737889,nan,0.200000,nan,1.935179
2,0.638509,0.643278,1.368025,0.200020,-6.678075,1.731742
3,0.742332,0.743450,nan,0.200020,nan,1.938506
4,0.654351,0.653401,1.540042,0.200040,-7.517442,1.751468
5,0.626125,0.622298,nan,0.200040,nan,1.715589
6,0.549724,0.547085,1.622592,0.200060,-7.894057,1.532633
7,0.660810,0.660027,nan,0.200060,nan,1.771990
8,0.592686,0.593135,1.725411,0.200080,-8.385986,1.588422
9,0.647552,0.648732,nan,0.200080,nan,1.706798
10,0.610655,0.611696,1.612841,0.200100,-7.802417,1.671591
11,0.657801,0.659292,nan,0.200100,nan,1.769396
12,0.708997,0.709270,1.296202,0.200119,-6.177641,1.883403
13,0.581292,0.581147,nan,0.200119,nan,1.612777
14,0.778688,0.778204,1.786547,0.200139,-8.583727,2.007362
15,0.672455,0.671809,nan,0.200139,nan,1.815775
16,0.457728,0.457747,1.517962,0.200158,-7.149154,1.313481
17,0.632594,0.633459,nan,0.200158,nan,1.697746
18,0.650023,0.649780,1.861441,0.200178,-8.831974,1.755683
19,0.660457,0.660703,nan,0.200178,nan,1.794068
20,0.493684,0.493064,1.469319,0.200198,-6.776066,1.422093
21,0.543491,0.542728,nan,0.200198,nan,1.551980
22,0.581680,0.581011,1.395003,0.200216,-6.372712,1.612963
23,0.712891,0.712901,nan,0.200216,nan,1.886827
24,0.635522,0.637294,1.327102,0.200234,-5.829961,1.758305
25,0.805740,0.805901,nan,0.200234,nan,2.096898
26,0.673723,0.672514,1.453001,0.200252,-6.440384,1.800061
27,0.618678,0.616989,nan,0.200252,nan,1.705029
28,0.765765,0.763445,1.632441,0.200270,-7.113975,2.003826
29,0.624256,0.624376,nan,0.200270,nan,1.712356
30,0.625507,0.627332,1.560532,0.200288,-6.553156,1.705347
31,0.624806,0.624720,nan,0.200288,nan,1.694462
32,0.680558,0.679556,1.954102,0.200306,-8.335678,1.814902
33,0.595617,0.592799,nan,0.200306,nan,1.647412
34,0.483001,0.482572,1.737219,0.200325,-7.137437,1.398836
35,0.523233,0.523839,nan,0.200325,nan,1.467994
36,0.607292,0.609243,1.344424,0.200342,-4.972323,1.671184
37,0.561852,0.561024,nan,0.200342,nan,1.530176
38,0.509045,0.506196,1.783784,0.200359,-7.099524,1.453544
39,0.536037,0.529998,nan,0.200359,nan,1.475954
40,0.742259,0.736540,1.277558,0.200375,-4.408809,1.951796
41,0.539137,0.536894,nan,0.200375,nan,1.508260
42,0.464525,0.463313,1.327302,0.200389,-4.164072,1.343980
43,0.633542,0.632323,nan,0.200389,nan,1.711277
